,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
241,017860,KR7017860008,DS단석,KOSPI,,191700,2,-8200,-4.1,200000,200000,191100,58857,11373801700,1123631146800,5861404,STK
242,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,중견기업부,39650,2,-50,-0.13,39750,40250,39200,103715,4125543300,1123280178150,28329891,KSQ
243,161890,KR7161890009,한국콜마,KOSPI,,49050,1,350,0.72,48750,49300,48450,46607,2279114850,1122321879000,22881180,STK
244,120110,KR7120110002,코오롱인더,KOSPI,,40700,2,-550,-1.33,41250,41250,40600,42665,1740065550,1120027003700,27519091,STK
245,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,71100,1,700,0.99,70400,71200,69200,51627,3624353700,1100670162300,15480593,KSQ
246,001120,KR7001120005,LX인터내셔널,KOSPI,,28300,2,-300,-1.05,28800,28850,28250,135316,3847364350,1096908000000,38760000,STK
247,000210,KR7000210005,DL,KOSPI,,52200,1,300,0.58,51900,52500,51100,19666,1022968600,1093897144800,20955884,STK
248,014820,KR7014820005,동원시스템즈,KOSPI,,37600,3,0,0.0,38100,38600,37300,85313,3225122000,1090072203200,28991282,STK
249,103140,KR7103140000,풍산,KOSPI,,38700,2,-850,-2.15,39550,39550,38550,123642,4808017550,1084539558600,28024278,STK
250,267270,KR7267270007,HD현대건설기계,KOSPI,,53900,2,-400,-0.74,54800,54900,53300,103653,5592544800,1061872742700,19700793,STK
251,009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,25350,2,-250,-0.98,25450,25550,24650,235799,5921293100,1055642521050,41642703,KSQ
252,395400,KR7395400005,SK리츠,KOSPI,,3905,3,0,0.0,3915,3925,3895,235696,920244305,1054868111495,270132679,STK
253,036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,6330,2,-160,-2.47,6490,6520,6320,1079775,6906545350,1041033717990,164460303,KSQ
254,085620,KR7085620003,미래에셋생명,KOSPI,,5850,2,-270,-4.41,6120,6170,5810,216332,1276034040,1035544705650,177016189,STK
255,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,29950,2,-1050,-3.39,31100,31250,29800,2264462,68321569950,1031562848350,34442833,KSQ
256,085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,18280,1,20,0.11,18490,18560,18060,183116,3344993640,1029428018040,56314443,KSQ
257,039130,KR7039130000,하나투어,KOSPI,,63400,2,-100,-0.16,63600,63600,62500,79267,4997838700,1016884329000,16039185,STK
258,181710,KR7181710005,NHN,KOSPI,,29000,1,300,1.05,28750,29150,28350,101233,2914391600,1013163778000,34936682,STK
259,023590,KR7023590003,다우기술,KOSPI,,22550,2,-750,-3.22,23350,23400,22500,120570,2736106500,1011742213350,44866617,STK
260,192080,KR7192080000,더블유게임즈,KOSPI,,46700,2,-350,-0.74,47250,47500,45800,59981,2785360750,1003858810200,21495906,STK
261,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,20900,1,350,1.7,20600,21300,20400,248951,5212197400,1000954065100,47892539,KSQ
262,000400,KR7000400002,롯데손해보험,KOSPI,,3220,2,-80,-2.42,3225,3300,3170,1205104,3898724940,999282950400,310336320,STK
263,089860,KR7089860001,롯데렌탈,KOSPI,,27050,3,0,0.0,27050,27150,27000,11461,310122000,990951404150,36634063,STK
264,006650,KR7006650006,대한유화,KOSPI,,151800,1,800,0.53,149100,153600,148200,17931,2700110400,986700000000,6500000,STK
265,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,20100,2,-150,-0.74,20150,20450,19830,291694,5858101630,979935360300,48753003,KSQ
